,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NOMINAL SCENARIO,,,,,,,,,,,PESSIMISTIC SCENARIO,,,,,,,,,,,OPTIMISTIC SCENARIO,,,,,,,,,,,,,
,,STORAGE POTENTIAL (Gt CO2e),,,,REMOVAL NATURAL POTENTIAL (Gt CO2e),,,,,,,STORAGE POTENTIAL (Gt CO2e),,,,REMOVAL NATURAL POTENTIAL (Gt CO2e),,,,,,,STORAGE POTENTIAL (Gt CO2e),,,,REMOVAL NATURAL POTENTIAL (Gt CO2e),,,,,,EU CDR QUOTAS (Gt CO2),,,
,Country,Deep saline aquifers,Hydrocarbon fields,Coal fields,Reforestation,Energy crops,Residues,Reforestation,,,,Country,Deep saline aquifers,Hydrocarbon fields,Coal fields,Reforestation,Energy crops,Residues,Reforestation,,,,Country,Deep saline aquifers,Hydrocarbon fields,Coal fields,Reforestation,Energy crops,Residues,Reforestation,,,,RESPONSIBILITY,CAPABILITY,EQUALITY,MULTICRITERIA
ITA,Italy,4.669,1.810,0.071,2.379,1.689,3.562,2.379,,,ITA,Italy,3.735,1.448,0.057,0.642,0.306,2.849,0.642,,,ITA,Italy,5.603,2.172,0.085,4.187,2.103,4.274,4.187,,,ITA,6.38,22.56,0.33,4.19
LTU,Lithuania,0.030,0.007,0.000,0.209,2.458,0.846,0.209,,,LTU,Lithuania,0.024,0.006,0.000,0.056,0.360,0.677,0.056,,,LTU,Lithuania,0.036,0.008,0.000,0.367,5.156,1.016,0.367,,,LTU,0.25,0.39,0.00,0.08
LUX,Luxembourg,0.000,0.000,0.000,0.010,0.002,0.062,0.010,,,LUX,Luxembourg,0.000,0.000,0.000,0.003,0.001,0.049,0.003,,,LUX,Luxembourg,0.000,0.000,0.000,0.018,0.002,0.074,0.018,,,LUX,0.55,0.56,0.00,0.13
LVA,Latvia,0.404,0.000,0.000,0.288,2.175,1.157,0.288,,,LVA,Latvia,0.323,0.000,0.000,0.078,0.106,0.925,0.078,,,LVA,Latvia,0.485,0.000,0.000,0.507,4.564,1.388,0.507,,,LVA,0.12,0.25,0.00,0.05
MLT,Malta,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,MLT,Malta,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,MLT,Malta,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,MLT,0.03,0.09,0.00,0.02
NLD,Netherlands,0.340,1.700,0.300,0.249,0.180,0.169,0.249,,,NLD,Netherlands,0.272,1.360,0.240,0.067,0.056,0.135,0.067,,,NLD,Netherlands,0.408,2.040,0.360,0.439,0.180,0.203,0.439,,,NLD,4.78,8.88,0.04,1.74
POL,Poland,1.761,0.764,0.415,1.211,3.851,6.132,1.211,,,POL,Poland,1.409,0.611,0.332,0.327,1.194,4.906,0.327,,,POL,Poland,2.113,0.917,0.498,2.132,3.851,7.359,2.132,,,POL,6.27,5.09,0.10,1.32
PRT,Portugal,0.000,0.000,0.000,1.582,2.659,0.942,1.582,,,PRT,Portugal,0.000,0.000,0.000,0.427,0.824,0.754,0.427,,,PRT,Portugal,0.000,0.000,0.000,2.784,2.659,1.130,2.784,,,PRT,0.61,2.53,0.01,0.44
ROU,Romania,7.500,1.500,0.000,1.494,1.124,3.485,1.494,,,ROU,Romania,6.000,1.200,0.000,0.403,0.348,2.788,0.403,,,ROU,Romania,9.000,1.800,0.000,2.629,1.124,4.182,2.629,,,ROU,1.57,1.78,0.03,0.41
HRV,Croatia,2.710,0.189,0.000,0.514,0.328,0.678,0.514,,,HRV,Croatia,2.168,0.151,0.000,0.139,0.102,0.542,0.139,,,HRV,Croatia,3.252,0.227,0.000,0.905,0.328,0.814,0.905,,,HRV,0.22,0.63,0.00,0.11
SVK,Slovakia,1.716,0.000,0.000,0.235,0.272,1.029,0.235,,,SVK,Slovakia,1.373,0.000,0.000,0.063,0.084,0.823,0.063,,,SVK,Slovakia,2.059,0.000,0.000,0.413,0.272,1.234,0.413,,,SVK,0.92,0.95,0.00,0.22
SVN,Slovenia,0.092,0.002,0.000,0.090,0.059,0.612,0.090,,,SVN,Slovenia,0.074,0.002,0.000,0.024,0.018,0.490,0.024,,,SVN,Slovenia,0.110,0.002,0.000,0.158,0.059,0.735,0.158,,,SVN,0.21,0.51,0.00,0.09
SWE,Sweden,0.000,0.000,0.000,0.687,0.801,7.204,0.687,,,SWE,Sweden,0.000,0.000,0.000,0.186,0.031,5.763,0.186,,,SWE,Sweden,0.000,0.000,0.000,1.209,1.680,8.645,1.209,,,SWE,3.02,5.19,0.02,1.03
